cell	prediction	probability	sample
HG03065x02PE20501	1	0.868	HG03065x02
HG03065x02PE20502	1	0.8877	HG03065x02
HG03065x02PE20503	1	0.907	HG03065x02
HG03065x02PE20504	1	0.8581	HG03065x02
HG03065x02PE20505	1	0.7136	HG03065x02
HG03065x02PE20506	1	0.814	HG03065x02
HG03065x02PE20507	0	0.0	HG03065x02
HG03065x02PE20508	1	0.8911	HG03065x02
HG03065x02PE20509	0	0.1384	HG03065x02
HG03065x02PE20510	0	0.0	HG03065x02
HG03065x02PE20511	1	0.9215	HG03065x02
HG03065x02PE20512	1	0.9019	HG03065x02
HG03065x02PE20513	0	0.0259	HG03065x02
HG03065x02PE20514	1	0.8953	HG03065x02
HG03065x02PE20515	0	0.0	HG03065x02
HG03065x02PE20516	0	0.0	HG03065x02
HG03065x02PE20517	1	0.9141	HG03065x02
HG03065x02PE20518	1	0.8098	HG03065x02
HG03065x02PE20519	1	0.9199	HG03065x02
HG03065x02PE20520	1	0.904	HG03065x02
HG03065x02PE20521	0	0.0061	HG03065x02
HG03065x02PE20522	0	0.1303	HG03065x02
HG03065x02PE20523	1	0.8871	HG03065x02
HG03065x02PE20524	0	0.0077	HG03065x02
HG03065x02PE20525	1	0.8409	HG03065x02
HG03065x02PE20526	1	0.5106	HG03065x02
HG03065x02PE20527	1	0.8962	HG03065x02
HG03065x02PE20528	1	0.913	HG03065x02
HG03065x02PE20529	0	0.0	HG03065x02
HG03065x02PE20530	0	0.018	HG03065x02
HG03065x02PE20531	1	0.8673	HG03065x02
HG03065x02PE20532	0	0.1143	HG03065x02
HG03065x02PE20533	0	0.0724	HG03065x02
HG03065x02PE20534	1	0.9592	HG03065x02
HG03065x02PE20535	1	0.9124	HG03065x02
HG03065x02PE20536	1	0.8724	HG03065x02
HG03065x02PE20537	0	0.0	HG03065x02
HG03065x02PE20538	0	0.0	HG03065x02
HG03065x02PE20539	0	0.0	HG03065x02
HG03065x02PE20540	1	0.8066	HG03065x02
HG03065x02PE20541	1	0.9097	HG03065x02
HG03065x02PE20542	1	0.9884	HG03065x02
HG03065x02PE20543	1	0.9257	HG03065x02
HG03065x02PE20544	1	0.8951	HG03065x02
HG03065x02PE20545	0	0.0015	HG03065x02
HG03065x02PE20546	1	0.9126	HG03065x02
HG03065x02PE20547	0	0.0	HG03065x02
HG03065x02PE20548	1	0.8883	HG03065x02
HG03065x02PE20549	1	0.8915	HG03065x02
HG03065x02PE20550	1	0.8938	HG03065x02
HG03065x02PE20551	1	0.7183	HG03065x02
HG03065x02PE20552	1	0.9176	HG03065x02
HG03065x02PE20553	1	0.896	HG03065x02
HG03065x02PE20554	0	0.0	HG03065x02
HG03065x02PE20555	1	0.8872	HG03065x02
HG03065x02PE20556	0	0.0719	HG03065x02
HG03065x02PE20557	1	0.6426	HG03065x02
HG03065x02PE20558	1	0.8942	HG03065x02
HG03065x02PE20559	1	0.8559	HG03065x02
HG03065x02PE20560	1	0.6165	HG03065x02
HG03065x02PE20561	1	0.5	HG03065x02
HG03065x02PE20562	1	0.9048	HG03065x02
HG03065x02PE20563	0	0.1134	HG03065x02
HG03065x02PE20564	1	0.809	HG03065x02
HG03065x02PE20565	0	0.0847	HG03065x02
HG03065x02PE20566	1	0.8561	HG03065x02
HG03065x02PE20567	1	0.881	HG03065x02
HG03065x02PE20568	1	0.9113	HG03065x02
HG03065x02PE20569	0	0.0843	HG03065x02
HG03065x02PE20570	1	0.8781	HG03065x02
HG03065x02PE20571	1	0.8391	HG03065x02
HG03065x02PE20572	0	0.0248	HG03065x02
HG03065x02PE20573	1	0.9034	HG03065x02
HG03065x02PE20574	0	0.156	HG03065x02
HG03065x02PE20575	0	0.0	HG03065x02
HG03065x02PE20576	0	0.0	HG03065x02
HG03065x02PE20577	1	0.8866	HG03065x02
HG03065x02PE20578	1	0.9087	HG03065x02
HG03065x02PE20579	1	0.8589	HG03065x02
HG03065x02PE20580	0	0.0425	HG03065x02
HG03065x02PE20581	1	0.8845	HG03065x02
HG03065x02PE20582	1	0.9028	HG03065x02
HG03065x02PE20583	1	0.8839	HG03065x02
HG03065x02PE20584	1	0.9093	HG03065x02
HG03065x02PE20585	1	0.912	HG03065x02
HG03065x02PE20586	1	0.9845	HG03065x02
HG03065x02PE20587	0	0.1584	HG03065x02
HG03065x02PE20588	0	0.0235	HG03065x02
HG03065x02PE20589	1	0.888	HG03065x02
HG03065x02PE20590	1	0.9011	HG03065x02
HG03065x02PE20591	1	0.8928	HG03065x02
HG03065x02PE20592	1	0.9578	HG03065x02
HG03065x02PE20593	1	0.847	HG03065x02
HG03065x02PE20594	1	0.9024	HG03065x02
HG03065x02PE20595	0	0.3589	HG03065x02
HG03065x02PE20596	0	0.0767	HG03065x02
