cell	prediction	probability	sample
HG03732x01PE20501	0	0.0207	HG03732x01
HG03732x01PE20502	1	0.8715	HG03732x01
HG03732x01PE20503	1	0.8827	HG03732x01
HG03732x01PE20504	1	0.8955	HG03732x01
HG03732x01PE20505	0	0.0	HG03732x01
HG03732x01PE20506	0	0.0	HG03732x01
HG03732x01PE20507	1	0.8917	HG03732x01
HG03732x01PE20508	0	0.3473	HG03732x01
HG03732x01PE20509	0	0.0003	HG03732x01
HG03732x01PE20510	1	0.8803	HG03732x01
HG03732x01PE20511	1	0.5645	HG03732x01
HG03732x01PE20512	0	0.3454	HG03732x01
HG03732x01PE20513	0	0.0185	HG03732x01
HG03732x01PE20514	1	0.8986	HG03732x01
HG03732x01PE20515	1	0.8389	HG03732x01
HG03732x01PE20516	0	0.0	HG03732x01
HG03732x01PE20517	1	0.8192	HG03732x01
HG03732x01PE20518	0	0.001	HG03732x01
HG03732x01PE20519	0	0.0911	HG03732x01
HG03732x01PE20520	0	0.0549	HG03732x01
HG03732x01PE20521	0	0.0907	HG03732x01
HG03732x01PE20522	1	0.868	HG03732x01
HG03732x01PE20523	1	0.7364	HG03732x01
HG03732x01PE20524	0	0.0	HG03732x01
HG03732x01PE20525	1	0.8704	HG03732x01
HG03732x01PE20526	1	0.8878	HG03732x01
HG03732x01PE20527	1	0.8562	HG03732x01
HG03732x01PE20528	0	0.0495	HG03732x01
HG03732x01PE20529	1	0.7744	HG03732x01
HG03732x01PE20530	1	0.885	HG03732x01
HG03732x01PE20531	0	0.026	HG03732x01
HG03732x01PE20532	0	0.0	HG03732x01
HG03732x01PE20533	0	0.0619	HG03732x01
HG03732x01PE20534	0	0.013	HG03732x01
HG03732x01PE20535	1	0.8717	HG03732x01
HG03732x01PE20536	1	0.9035	HG03732x01
HG03732x01PE20537	0	0.3382	HG03732x01
HG03732x01PE20538	0	0.0802	HG03732x01
HG03732x01PE20539	1	0.9143	HG03732x01
HG03732x01PE20540	0	0.0023	HG03732x01
HG03732x01PE20541	1	0.8909	HG03732x01
HG03732x01PE20542	1	0.8583	HG03732x01
HG03732x01PE20543	0	0.0163	HG03732x01
HG03732x01PE20544	1	0.8863	HG03732x01
HG03732x01PE20545	0	0.2213	HG03732x01
HG03732x01PE20546	1	0.9003	HG03732x01
HG03732x01PE20547	0	0.0001	HG03732x01
HG03732x01PE20548	0	0.039	HG03732x01
HG03732x01PE20549	0	0.0	HG03732x01
HG03732x01PE20550	1	0.8773	HG03732x01
HG03732x01PE20551	0	0.4102	HG03732x01
HG03732x01PE20552	0	0.4614	HG03732x01
HG03732x01PE20553	1	0.8666	HG03732x01
HG03732x01PE20554	0	0.0	HG03732x01
HG03732x01PE20555	1	0.8771	HG03732x01
HG03732x01PE20556	0	0.0408	HG03732x01
HG03732x01PE20557	1	0.8323	HG03732x01
HG03732x01PE20558	1	0.8843	HG03732x01
HG03732x01PE20559	1	0.8424	HG03732x01
HG03732x01PE20560	0	0.3949	HG03732x01
HG03732x01PE20561	1	0.8857	HG03732x01
HG03732x01PE20562	1	0.8614	HG03732x01
HG03732x01PE20563	1	0.9002	HG03732x01
HG03732x01PE20564	1	0.8654	HG03732x01
HG03732x01PE20565	1	0.8666	HG03732x01
HG03732x01PE20566	0	0.3939	HG03732x01
HG03732x01PE20567	1	0.9085	HG03732x01
HG03732x01PE20568	0	0.369	HG03732x01
HG03732x01PE20569	0	0.2768	HG03732x01
HG03732x01PE20570	0	0.1014	HG03732x01
HG03732x01PE20571	0	0.037	HG03732x01
HG03732x01PE20572	0	0.0111	HG03732x01
HG03732x01PE20573	1	0.8991	HG03732x01
HG03732x01PE20574	0	0.0	HG03732x01
HG03732x01PE20575	1	0.8749	HG03732x01
HG03732x01PE20576	1	0.8314	HG03732x01
HG03732x01PE20577	1	0.8412	HG03732x01
HG03732x01PE20578	1	0.8393	HG03732x01
HG03732x01PE20579	0	0.004	HG03732x01
HG03732x01PE20580	0	0.0322	HG03732x01
HG03732x01PE20581	1	0.6534	HG03732x01
HG03732x01PE20582	1	0.923	HG03732x01
HG03732x01PE20583	1	0.8295	HG03732x01
HG03732x01PE20584	1	0.8362	HG03732x01
HG03732x01PE20585	1	0.8753	HG03732x01
HG03732x01PE20586	1	0.837	HG03732x01
HG03732x01PE20587	0	0.1142	HG03732x01
HG03732x01PE20588	0	0.0614	HG03732x01
HG03732x01PE20589	1	0.9101	HG03732x01
HG03732x01PE20590	1	0.8856	HG03732x01
HG03732x01PE20591	1	0.9024	HG03732x01
HG03732x01PE20592	1	0.8922	HG03732x01
HG03732x01PE20593	1	0.9664	HG03732x01
HG03732x01PE20594	0	0.1208	HG03732x01
HG03732x01PE20595	0	0.1202	HG03732x01
HG03732x01PE20596	1	0.6459	HG03732x01
