cell	prediction	probability	sample
HG02492x02PE20401	0	0.0	HG02492x02
HG02492x02PE20402	1	0.8549	HG02492x02
HG02492x02PE20403	1	0.7213	HG02492x02
HG02492x02PE20404	0	0.0075	HG02492x02
HG02492x02PE20405	1	0.7072	HG02492x02
HG02492x02PE20406	0	0.0636	HG02492x02
HG02492x02PE20407	0	0.0	HG02492x02
HG02492x02PE20408	0	0.0	HG02492x02
HG02492x02PE20409	1	0.7937	HG02492x02
HG02492x02PE20410	1	0.8996	HG02492x02
HG02492x02PE20411	0	0.0	HG02492x02
HG02492x02PE20412	1	0.6983	HG02492x02
HG02492x02PE20413	0	0.038	HG02492x02
HG02492x02PE20414	0	0.0167	HG02492x02
HG02492x02PE20415	1	0.9166	HG02492x02
HG02492x02PE20416	0	0.0314	HG02492x02
HG02492x02PE20417	0	0.1015	HG02492x02
HG02492x02PE20418	1	0.5738	HG02492x02
HG02492x02PE20419	0	0.0	HG02492x02
HG02492x02PE20420	0	0.0	HG02492x02
HG02492x02PE20421	0	0.001	HG02492x02
HG02492x02PE20422	0	0.0004	HG02492x02
HG02492x02PE20423	0	0.4695	HG02492x02
HG02492x02PE20424	0	0.3209	HG02492x02
HG02492x02PE20425	1	0.6655	HG02492x02
HG02492x02PE20426	0	0.0002	HG02492x02
HG02492x02PE20427	0	0.001	HG02492x02
HG02492x02PE20428	1	0.7233	HG02492x02
HG02492x02PE20429	0	0.0064	HG02492x02
HG02492x02PE20430	1	0.7464	HG02492x02
HG02492x02PE20431	1	0.6727	HG02492x02
HG02492x02PE20432	0	0.0	HG02492x02
HG02492x02PE20433	0	0.098	HG02492x02
HG02492x02PE20434	0	0.0	HG02492x02
HG02492x02PE20435	0	0.0	HG02492x02
HG02492x02PE20436	0	0.0002	HG02492x02
HG02492x02PE20437	1	0.637	HG02492x02
HG02492x02PE20438	1	0.8574	HG02492x02
HG02492x02PE20439	0	0.3285	HG02492x02
HG02492x02PE20440	0	0.0555	HG02492x02
HG02492x02PE20441	0	0.0396	HG02492x02
HG02492x02PE20442	0	0.2758	HG02492x02
HG02492x02PE20443	0	0.0	HG02492x02
HG02492x02PE20444	0	0.0	HG02492x02
HG02492x02PE20445	1	0.7051	HG02492x02
HG02492x02PE20446	0	0.0	HG02492x02
HG02492x02PE20447	1	0.7622	HG02492x02
HG02492x02PE20448	1	0.8523	HG02492x02
HG02492x02PE20449	1	0.7719	HG02492x02
HG02492x02PE20450	0	0.0247	HG02492x02
HG02492x02PE20451	0	0.0001	HG02492x02
HG02492x02PE20452	0	0.0	HG02492x02
HG02492x02PE20453	0	0.0	HG02492x02
HG02492x02PE20454	0	0.0001	HG02492x02
HG02492x02PE20455	0	0.0591	HG02492x02
HG02492x02PE20456	0	0.053	HG02492x02
HG02492x02PE20457	1	0.8513	HG02492x02
HG02492x02PE20458	0	0.0001	HG02492x02
HG02492x02PE20459	1	0.8341	HG02492x02
HG02492x02PE20460	0	0.4571	HG02492x02
HG02492x02PE20461	0	0.0	HG02492x02
HG02492x02PE20462	1	0.8393	HG02492x02
HG02492x02PE20463	1	0.7805	HG02492x02
HG02492x02PE20464	1	0.8042	HG02492x02
HG02492x02PE20465	1	0.7965	HG02492x02
HG02492x02PE20466	0	0.0	HG02492x02
HG02492x02PE20467	0	0.4608	HG02492x02
HG02492x02PE20468	0	0.0518	HG02492x02
HG02492x02PE20469	0	0.0	HG02492x02
HG02492x02PE20470	0	0.1158	HG02492x02
HG02492x02PE20471	0	0.0093	HG02492x02
HG02492x02PE20472	0	0.0546	HG02492x02
HG02492x02PE20473	1	0.8733	HG02492x02
HG02492x02PE20474	0	0.0	HG02492x02
HG02492x02PE20475	0	0.115	HG02492x02
HG02492x02PE20476	1	0.8526	HG02492x02
HG02492x02PE20477	0	0.0075	HG02492x02
HG02492x02PE20478	1	0.8838	HG02492x02
HG02492x02PE20479	1	0.7875	HG02492x02
HG02492x02PE20480	0	0.0157	HG02492x02
HG02492x02PE20481	1	0.8736	HG02492x02
HG02492x02PE20482	0	0.0033	HG02492x02
HG02492x02PE20483	0	0.0018	HG02492x02
HG02492x02PE20484	0	0.0104	HG02492x02
HG02492x02PE20485	1	0.7092	HG02492x02
HG02492x02PE20486	0	0.0434	HG02492x02
HG02492x02PE20487	0	0.0678	HG02492x02
HG02492x02PE20488	0	0.123	HG02492x02
HG02492x02PE20489	1	0.8002	HG02492x02
HG02492x02PE20490	1	0.9024	HG02492x02
HG02492x02PE20491	0	0.0	HG02492x02
HG02492x02PE20492	1	0.7932	HG02492x02
HG02492x02PE20493	0	0.098	HG02492x02
HG02492x02PE20494	1	0.8829	HG02492x02
HG02492x02PE20495	0	0.0706	HG02492x02
HG02492x02PE20496	0	0.1572	HG02492x02
