cell	prediction	probability	sample
HG00096x02PE20301	1	0.8951	HG00096x02
HG00096x02PE20302	1	0.8969	HG00096x02
HG00096x02PE20303	1	0.8366	HG00096x02
HG00096x02PE20304	1	0.806	HG00096x02
HG00096x02PE20305	1	0.8142	HG00096x02
HG00096x02PE20306	1	0.8895	HG00096x02
HG00096x02PE20307	1	0.943	HG00096x02
HG00096x02PE20308	1	0.7587	HG00096x02
HG00096x02PE20309	1	0.8853	HG00096x02
HG00096x02PE20310	1	0.875	HG00096x02
HG00096x02PE20311	1	0.8899	HG00096x02
HG00096x02PE20312	1	0.9265	HG00096x02
HG00096x02PE20313	1	0.892	HG00096x02
HG00096x02PE20314	1	0.928	HG00096x02
HG00096x02PE20315	1	0.8825	HG00096x02
HG00096x02PE20316	1	0.6611	HG00096x02
HG00096x02PE20317	1	0.8082	HG00096x02
HG00096x02PE20318	1	0.8902	HG00096x02
HG00096x02PE20319	1	0.8331	HG00096x02
HG00096x02PE20320	1	0.8379	HG00096x02
HG00096x02PE20321	1	0.8878	HG00096x02
HG00096x02PE20322	1	0.8899	HG00096x02
HG00096x02PE20323	1	0.8821	HG00096x02
HG00096x02PE20324	1	0.933	HG00096x02
HG00096x02PE20325	0	0.4066	HG00096x02
HG00096x02PE20326	1	0.9053	HG00096x02
HG00096x02PE20327	1	0.8769	HG00096x02
HG00096x02PE20328	0	0.0	HG00096x02
HG00096x02PE20329	0	0.113	HG00096x02
HG00096x02PE20330	1	0.8737	HG00096x02
HG00096x02PE20331	1	0.9049	HG00096x02
HG00096x02PE20332	0	0.0	HG00096x02
HG00096x02PE20333	1	0.9019	HG00096x02
HG00096x02PE20334	1	0.9031	HG00096x02
HG00096x02PE20335	0	0.2127	HG00096x02
HG00096x02PE20336	1	0.9026	HG00096x02
HG00096x02PE20337	1	0.8169	HG00096x02
HG00096x02PE20338	0	0.0	HG00096x02
HG00096x02PE20339	1	0.8685	HG00096x02
HG00096x02PE20340	1	0.5965	HG00096x02
HG00096x02PE20341	0	0.4544	HG00096x02
HG00096x02PE20342	1	0.9179	HG00096x02
HG00096x02PE20343	1	0.918	HG00096x02
HG00096x02PE20344	1	0.8549	HG00096x02
HG00096x02PE20345	1	0.8987	HG00096x02
HG00096x02PE20346	1	0.8886	HG00096x02
HG00096x02PE20347	1	0.8986	HG00096x02
HG00096x02PE20348	1	0.8514	HG00096x02
HG00096x02PE20349	1	0.909	HG00096x02
HG00096x02PE20350	1	0.899	HG00096x02
HG00096x02PE20351	0	0.3297	HG00096x02
HG00096x02PE20352	1	0.9013	HG00096x02
HG00096x02PE20353	1	0.8624	HG00096x02
HG00096x02PE20354	1	0.5984	HG00096x02
HG00096x02PE20355	1	0.8397	HG00096x02
HG00096x02PE20356	0	0.0247	HG00096x02
HG00096x02PE20357	1	0.889	HG00096x02
HG00096x02PE20358	0	0.2276	HG00096x02
HG00096x02PE20359	1	0.9175	HG00096x02
HG00096x02PE20360	1	0.8862	HG00096x02
HG00096x02PE20361	0	0.0	HG00096x02
HG00096x02PE20362	1	0.9066	HG00096x02
HG00096x02PE20363	1	0.8805	HG00096x02
HG00096x02PE20364	1	0.927	HG00096x02
HG00096x02PE20365	1	0.5773	HG00096x02
HG00096x02PE20366	1	0.9087	HG00096x02
HG00096x02PE20367	1	0.9077	HG00096x02
HG00096x02PE20368	1	0.8368	HG00096x02
HG00096x02PE20369	1	0.8009	HG00096x02
HG00096x02PE20370	1	0.8891	HG00096x02
HG00096x02PE20371	1	0.8553	HG00096x02
HG00096x02PE20372	1	0.8648	HG00096x02
HG00096x02PE20373	1	0.8886	HG00096x02
HG00096x02PE20374	1	0.9122	HG00096x02
HG00096x02PE20375	1	0.8976	HG00096x02
HG00096x02PE20376	0	0.0446	HG00096x02
HG00096x02PE20377	1	0.859	HG00096x02
HG00096x02PE20378	1	0.9049	HG00096x02
HG00096x02PE20379	1	0.791	HG00096x02
HG00096x02PE20380	1	0.7783	HG00096x02
HG00096x02PE20381	1	0.7411	HG00096x02
HG00096x02PE20382	1	0.911	HG00096x02
HG00096x02PE20383	1	0.9138	HG00096x02
HG00096x02PE20384	1	0.8745	HG00096x02
HG00096x02PE20385	0	0.2622	HG00096x02
HG00096x02PE20386	1	0.9418	HG00096x02
HG00096x02PE20387	1	0.8333	HG00096x02
HG00096x02PE20388	1	0.9049	HG00096x02
HG00096x02PE20389	1	0.9177	HG00096x02
HG00096x02PE20390	1	0.8675	HG00096x02
HG00096x02PE20391	1	0.8749	HG00096x02
HG00096x02PE20392	1	0.9162	HG00096x02
HG00096x02PE20393	1	0.8725	HG00096x02
HG00096x02PE20394	0	0.0	HG00096x02
HG00096x02PE20395	1	0.884	HG00096x02
HG00096x02PE20396	1	0.871	HG00096x02
